frame,time,x,y
1,0.01666692892735379,907.7308349609375,522.7554016113281
2,0.03333385785470758,907.7393798828125,522.6413726806641
3,0.050000786782061366,907.5123901367188,522.6534729003906
4,0.06666771570941515,907.5123901367188,522.6534729003906
5,0.08333464463676894,907.5123901367188,522.6534729003906
6,0.10000157356412273,907.5123901367188,522.6534729003906
7,0.11666850249147653,907.5123901367188,522.6534729003906
8,0.1333354314188303,907.5123901367188,522.6534729003906
9,0.1500023603461841,907.5123901367188,522.6534729003906
10,0.16666928927353789,907.5123901367188,522.6534729003906
11,0.1833362182008917,907.5123901367188,522.6534729003906
12,0.20000314712824546,907.5123901367188,522.6534729003906
13,0.21667007605559926,907.5123901367188,522.6534729003906
14,0.23333700498295307,907.5123901367188,522.6534729003906
15,0.25000393391030684,907.5123901367188,522.6534729003906
16,0.2666708628376606,907.5123901367188,522.6534729003906
17,0.28333779176501445,907.5123901367188,522.6534729003906
18,0.3000047206923682,907.5123901367188,522.6534729003906
19,0.316671649619722,907.5123901367188,522.6534729003906
20,0.33333857854707577,907.4699096679688,522.6987915039062
21,0.3500055074744296,907.4699096679688,522.6987915039062
22,0.3666724364017834,907.4699096679688,522.6987915039062
23,0.38333936532913715,907.4699096679688,522.6987915039062
24,0.4000062942564909,907.4699096679688,522.6987915039062
25,0.41667322318384475,907.4699096679688,522.6987915039062
26,0.43334015211119853,907.4699096679688,522.6987915039062
27,0.4500070810385523,907.4699096679688,522.6987915039062
28,0.46667400996590613,907.4699096679688,522.6987915039062
29,0.4833409388932599,907.4699096679688,522.6987915039062
30,0.5000078678206137,907.4699096679688,522.6987915039062
31,0.5166747967479675,907.4699096679688,522.6987915039062
32,0.5333417256753212,907.4699096679688,522.6987915039062
33,0.550008654602675,907.4699096679688,522.6987915039062
34,0.5666755835300289,907.5999755859375,522.8000030517578
35,0.5833425124573827,907.5999755859375,522.8000030517578
36,0.6000094413847364,907.5999755859375,522.8000030517578
37,0.6166763703120902,907.7393798828125,522.6413726806641
38,0.633343299239444,907.7393798828125,522.6413726806641
39,0.6500102281667978,907.7393798828125,522.6413726806641
40,0.6666771570941515,907.7393798828125,522.6413726806641
41,0.6833440860215054,907.7393798828125,522.6413726806641
42,0.7000110149488592,907.7393798828125,522.6413726806641
