time,x_m,y_m,z_m
7.0595,1.7573,0.0221,0.0070
7.0917,1.7391,0.0244,0.0075
7.1248,1.7206,0.0254,0.0110
7.1584,1.6992,0.0250,0.0184
7.1911,1.6798,0.0282,0.0172
7.2256,1.6606,0.0288,0.0177
7.2576,1.6350,0.0324,0.0166
7.2927,1.6163,0.0341,0.0156
7.3245,1.5928,0.0355,0.0163
7.3591,1.5690,0.0377,0.0154
7.3916,1.5451,0.0404,0.0131
7.4260,1.5198,0.0430,0.0111
7.4591,1.4907,0.0422,0.0201
7.4918,1.4626,0.0434,0.0231
7.5244,1.4348,0.0462,0.0197
7.5595,1.4079,0.0464,0.0258
7.5937,1.3824,0.0449,0.0340
7.6255,1.3580,0.0432,0.0439
7.6591,1.3326,0.0454,0.0373
7.6919,1.3075,0.0479,0.0317
7.7253,1.2832,0.0497,0.0270
7.7586,1.2556,0.0518,0.0244
7.7915,1.2287,0.0543,0.0208
7.8255,1.2015,0.0564,0.0177
7.8585,1.1738,0.0590,0.0165
7.8927,1.1463,0.0595,0.0186
7.9252,1.1199,0.0582,0.0264
7.9589,1.0940,0.0563,0.0345
7.9919,1.0695,0.0528,0.0457
8.0252,1.0444,0.0513,0.0524
8.0594,1.0177,0.0526,0.0536
8.0930,0.9902,0.0535,0.0531
8.1255,0.9644,0.0555,0.0527
8.1592,0.9390,0.0569,0.0524
8.1933,0.9127,0.0583,0.0536
8.2262,0.8874,0.0594,0.0546
8.2609,0.8614,0.0636,0.0540
8.2932,0.8335,0.0666,0.0519
8.3262,0.8074,0.0683,0.0502
8.3607,0.7813,0.0696,0.0502
8.3923,0.7542,0.0714,0.0488
8.4261,0.7328,0.0684,0.0564
8.4593,0.7106,0.0694,0.0555
8.4937,0.6862,0.0701,0.0562
8.5257,0.6628,0.0715,0.0553
8.5593,0.6399,0.0728,0.0531
8.5926,0.6161,0.0762,0.0512
8.6263,0.5923,0.0774,0.0525
8.6590,0.5674,0.0784,0.0507
8.6938,0.5427,0.0790,0.0521
8.7256,0.5180,0.0800,0.0504
8.7612,0.4943,0.0802,0.0504
8.7941,0.4701,0.0810,0.0533
8.8271,0.4461,0.0816,0.0543
8.8593,0.4222,0.0837,0.0552
8.8935,0.3997,0.0841,0.0604
8.9256,0.3781,0.0830,0.0677
8.9600,0.3576,0.0828,0.0753
8.9930,0.3371,0.0828,0.0833
9.0260,0.3161,0.0831,0.0857
9.0608,0.2942,0.0844,0.0833
9.0938,0.2718,0.0855,0.0843
9.1272,0.2499,0.0845,0.0880
9.1602,0.2275,0.0845,0.0882
9.1934,0.2075,0.0847,0.0884
9.2267,0.1866,0.0852,0.0886
9.2610,0.1677,0.0860,0.0872
9.2938,0.1493,0.0886,0.0817
9.3265,0.1349,0.0899,0.0755
9.3597,0.1228,0.0929,0.0687
9.3933,0.1130,0.0902,0.0629
9.4284,0.1047,0.0867,0.0580
9.4609,0.0976,0.0828,0.0539
9.4933,0.0945,0.0789,0.0503
9.5268,0.0896,0.0747,0.0458
9.5596,0.0867,0.0713,0.0435
9.5942,0.0852,0.0646,0.0489
9.6307,0.0836,0.0585,0.0550
9.6603,0.0797,0.0539,0.0513
9.6936,0.0767,0.0503,0.0496
9.7265,0.0745,0.0477,0.0452
9.7599,0.0750,0.0445,0.0415
9.7933,0.0734,0.0417,0.0398
9.8267,0.0760,0.0407,0.0338
10.3276,0.0705,0.0412,0.0318
10.3600,0.0658,0.0432,0.0270
10.3940,0.0608,0.0437,0.0260
10.4272,0.0597,0.0433,0.0311
10.4617,0.0556,0.0466,0.0264
10.4931,0.0523,0.0473,0.0285
10.5286,0.0499,0.0489,0.0347
10.5605,0.0470,0.0527,0.0429
10.5954,0.0472,0.0471,0.0684
10.6631,0.0251,0.0588,0.0581
10.6941,0.0121,0.0668,0.0539
10.7278,0.0025,0.0720,0.0549
10.7606,-0.0022,0.0755,0.0673
10.7940,-0.0053,0.0767,0.0821
10.8279,-0.0085,0.0806,0.0947
10.8623,-0.0091,0.0830,0.1151
10.8937,-0.0086,0.0866,0.1324
10.9277,-0.0076,0.0877,0.1526
