time,x_m,y_m,z_m
0.8374,0.0413,0.0121,-0.3195
0.9356,0.0420,0.0106,-0.3127
1.0475,0.0425,0.0110,-0.3103
1.1239,0.0437,0.0101,-0.3016
1.2241,0.0441,0.0088,-0.2942
1.3514,0.0438,0.0077,-0.2912
1.4162,0.0441,0.0068,-0.2887
1.4803,0.0444,0.0061,-0.2865
1.5421,0.0446,0.0060,-0.2847
1.6192,0.0442,0.0057,-0.2831
1.6840,0.0445,0.0054,-0.2818
1.7545,0.0441,0.0057,-0.2807
1.8233,0.0438,0.0059,-0.2797
1.8622,0.0442,0.0061,-0.2789
1.9128,0.0444,0.0060,-0.2782
1.9773,0.0441,0.0060,-0.2776
2.0363,0.0444,0.0055,-0.2738
2.0837,0.0441,0.0055,-0.2739
2.1368,0.0438,0.0058,-0.2739
2.1775,0.0435,0.0060,-0.2740
2.2238,0.0433,0.0054,-0.2740
2.2687,0.0437,0.0054,-0.2740
2.3045,0.0440,0.0057,-0.2741
2.3395,0.0443,0.0054,-0.2741
2.3732,0.0440,0.0051,-0.2741
2.4145,0.0443,0.0048,-0.2708
2.4586,0.0446,0.0043,-0.2680
2.4983,0.0448,0.0045,-0.2690
2.5382,0.0444,0.0047,-0.2698
2.5722,0.0441,0.0048,-0.2704
2.6117,0.0444,0.0049,-0.2710
2.6413,0.0447,0.0046,-0.2682
2.6859,0.0443,0.0048,-0.2691
2.7311,0.0445,0.0041,-0.2699
2.7693,0.0442,0.0040,-0.2705
2.8047,0.0439,0.0043,-0.2711
2.8387,0.0436,0.0045,-0.2715
2.8709,0.0439,0.0046,-0.2720
2.9079,0.0442,0.0048,-0.2723
2.9439,0.0439,0.0049,-0.2726
2.9824,0.0442,0.0052,-0.2729
3.0245,0.0439,0.0056,-0.2765
3.0660,0.0442,0.0054,-0.2761
3.1028,0.0439,0.0054,-0.2759
3.1409,0.0436,0.0059,-0.2756
3.1768,0.0440,0.0051,-0.2721
3.2171,0.0437,0.0052,-0.2724
3.2666,0.0441,0.0060,-0.2727
3.3025,0.0443,0.0062,-0.2729
3.3392,0.0440,0.0064,-0.2731
3.3728,0.0437,0.0063,-0.2733
3.4072,0.0435,0.0056,-0.2734
3.4415,0.0438,0.0050,-0.2736
3.4778,0.0436,0.0048,-0.2737
3.5128,0.0434,0.0049,-0.2737
3.5590,0.0432,0.0050,-0.2738
3.6022,0.0436,0.0051,-0.2739
3.6377,0.0434,0.0049,-0.2739
3.6705,0.0432,0.0044,-0.2740
3.7079,0.0436,0.0046,-0.2740
3.7448,0.0440,0.0045,-0.2741
3.7809,0.0437,0.0044,-0.2741
3.8205,0.0434,0.0048,-0.2741
3.8624,0.0433,0.0043,-0.2708
3.8989,0.0431,0.0039,-0.2713
3.9395,0.0430,0.0042,-0.2717
3.9728,0.0428,0.0044,-0.2721
4.0015,0.0433,0.0043,-0.2724
4.0291,0.0437,0.0042,-0.2727
4.0572,0.0440,0.0041,-0.2730
4.1030,0.0443,0.0043,-0.2732
4.1341,0.0440,0.0048,-0.2733
4.1739,0.0437,0.0054,-0.2735
4.2092,0.0435,0.0054,-0.2736
4.2479,0.0438,0.0055,-0.2737
4.2851,0.0436,0.0055,-0.2738
4.3260,0.0434,0.0058,-0.2738
4.3674,0.0432,0.0052,-0.2739
4.4023,0.0285,0.0193,-0.3050
4.4413,0.0460,0.0167,-0.2753
4.4787,0.0472,0.0147,-0.2719
4.5136,0.0470,0.0136,-0.2722
4.5537,0.0469,0.0118,-0.2726
4.5985,0.0467,0.0109,-0.2728
4.6369,0.0547,0.0253,-0.2768
4.6684,0.0534,0.0221,-0.2765
4.6999,0.0529,0.0188,-0.2728
4.7303,0.0519,0.0171,-0.2731
4.7664,0.0510,0.0156,-0.2733
4.8038,0.0497,0.0141,-0.2734
4.8420,0.0491,0.0128,-0.2736
4.8733,0.0487,0.0113,-0.2703
4.9043,0.0477,0.0104,-0.2709
4.9395,0.0474,0.0097,-0.2714
4.9740,0.0466,0.0097,-0.2752
5.0089,0.0465,0.0093,-0.2751
5.0458,0.0458,0.0085,-0.2750
5.0862,0.0458,0.0078,-0.2749
5.1326,0.0453,0.0074,-0.2748
5.1718,0.0454,0.0080,-0.2747
5.2077,0.0455,0.0068,-0.2713
5.2492,0.0450,0.0061,-0.2718
5.2876,0.0452,0.0063,-0.2722
5.3252,0.0448,0.0059,-0.2691
5.3647,0.0444,0.0051,-0.2699
5.3963,0.0447,0.0044,-0.2672
5.4323,0.0443,0.0037,-0.2683
5.4645,0.0445,0.0035,-0.2692
5.4972,0.0447,0.0038,-0.2700
5.5296,0.0443,0.0035,-0.2706
5.5668,0.0446,0.0030,-0.2678
5.5988,0.0443,0.0042,-0.2688
5.6319,0.0439,0.0047,-0.2696
5.6703,0.0443,0.0042,-0.2670
5.7020,0.0440,0.0036,-0.2681
5.7382,0.0437,0.0033,-0.2690
5.7733,0.0440,0.0039,-0.2698
5.8079,0.0437,0.0044,-0.2704
5.8418,0.0435,0.0048,-0.2710
5.8806,0.0433,0.0049,-0.2715
5.9141,0.0431,0.0048,-0.2719
5.9560,0.0436,0.0047,-0.2689
5.9997,0.0434,0.0045,-0.2697
