time,x_m,y_m,z_m
6.0782,0.3485,0.0605,0.8443
6.1092,0.3488,0.0603,0.8456
6.1424,0.3487,0.0604,0.8446
6.1759,0.3493,0.0602,0.8459
6.2098,0.3493,0.0600,0.8459
6.2462,0.3493,0.0599,0.8459
6.2778,0.3493,0.0598,0.8460
6.3125,0.3493,0.0597,0.8460
6.3424,0.3487,0.0600,0.8450
6.3760,0.3481,0.0603,0.8432
6.4086,0.3483,0.0601,0.8436
6.4448,0.3483,0.0603,0.8430
6.4769,0.3484,0.0602,0.8435
6.5099,0.3485,0.0600,0.8439
6.5449,0.3487,0.0599,0.8442
6.5775,0.3487,0.0598,0.8445
6.6097,0.3488,0.0597,0.8447
6.6429,0.3494,0.0596,0.8459
6.6780,0.3489,0.0598,0.8450
6.7098,0.3484,0.0601,0.8441
6.7431,0.3478,0.0604,0.8424
6.7764,0.3473,0.0607,0.8410
6.8104,0.3471,0.0608,0.8408
6.8434,0.3479,0.0605,0.8426
6.8793,0.3476,0.0606,0.8421
6.9109,0.3478,0.0604,0.8427
6.9436,0.3480,0.0602,0.8432
6.9769,0.3475,0.0605,0.8416
7.0100,0.3471,0.0608,0.8403
7.0430,0.3480,0.0605,0.8422
7.0770,0.3487,0.0602,0.8438
7.1112,0.3493,0.0600,0.8451
7.1434,0.3474,0.0617,0.8402
7.1771,0.3476,0.0614,0.8411
7.2097,0.3486,0.0609,0.8439
7.2440,0.3487,0.0606,0.8442
7.2777,0.3484,0.0604,0.8445
7.3104,0.3490,0.0602,0.8457
7.3429,0.3485,0.0603,0.8448
7.3771,0.3492,0.0601,0.8460
7.4105,0.3497,0.0599,0.8470
7.4444,0.3484,0.0606,0.8439
7.4771,0.3485,0.0604,0.8442
7.5107,0.3492,0.0601,0.8455
7.5435,0.3499,0.0598,0.8476
7.5788,0.3498,0.0597,0.8473
7.6105,0.3492,0.0600,0.8462
7.6466,0.3492,0.0599,0.8462
7.6774,0.3493,0.0597,0.8471
7.7106,0.3485,0.0596,0.8470
7.7441,0.3452,0.0600,0.8478
7.7781,0.3428,0.0594,0.8535
7.8114,0.3405,0.0583,0.8592
7.8442,0.3389,0.0583,0.8612
7.8781,0.3401,0.0585,0.8589
7.9111,0.3473,0.0611,0.8570
7.9452,0.3570,0.0641,0.8514
7.9785,0.3686,0.0645,0.8457
8.0112,0.3823,0.0643,0.8357
8.0441,0.3979,0.0557,0.8231
8.0778,0.4149,0.0599,0.8092
8.1110,0.4331,0.0644,0.7942
8.1449,0.4515,0.0669,0.7771
8.1781,0.4711,0.0689,0.7604
8.2111,0.4917,0.0726,0.7430
8.2440,0.5129,0.0774,0.7259
8.2781,0.5352,0.0750,0.7080
8.3115,0.5570,0.0638,0.6894
8.3449,0.5788,0.0542,0.6701
8.3796,0.6020,0.0787,0.6513
8.4113,0.6250,0.1006,0.6331
8.4446,0.6488,0.1198,0.6140
8.4783,0.6721,0.1362,0.5966
8.5116,0.6954,0.1492,0.5842
8.5453,0.7151,0.1603,0.5737
8.5781,0.7324,0.1697,0.5647
8.6106,0.7475,0.1777,0.5571
8.6446,0.7603,0.1854,0.5483
8.6783,0.7703,0.1932,0.5371
8.7103,0.7779,0.2005,0.5251
8.7451,0.7843,0.2068,0.5150
8.7785,0.7893,0.2125,0.5051
8.8117,0.7931,0.2177,0.4955
8.8442,0.7963,0.2224,0.4860
8.8790,0.7981,0.2270,0.4768
8.9118,0.7992,0.2315,0.4677
8.9453,0.8001,0.2356,0.4586
8.9803,0.8004,0.2389,0.4522
9.0117,0.7997,0.2427,0.4430
9.0439,0.7991,0.2460,0.4351
9.0785,0.7982,0.2493,0.4272
9.1139,0.7964,0.2527,0.4179
9.1454,0.7949,0.2557,0.4099
9.1811,0.7936,0.2582,0.4032
9.2119,0.7916,0.2608,0.3962
9.2456,0.7898,0.2633,0.3889
9.2787,0.7884,0.2654,0.3827
9.3126,0.7861,0.2677,0.3749
9.3442,0.7842,0.2697,0.3682
9.3797,0.7803,0.2675,0.3778
9.4124,0.7673,0.2273,0.4053
9.4471,0.7453,0.2059,0.4552
9.4787,0.7172,0.1886,0.5110
9.5124,0.6850,0.1629,0.5806
9.5460,0.6504,0.1495,0.6627
9.5791,0.6122,0.1452,0.7472
9.6113,0.5719,0.1476,0.8379
9.6448,0.5294,0.1599,0.9332
9.6788,0.4852,0.1720,1.0310
9.7129,0.4410,0.1462,1.1330
9.7459,0.3960,0.1482,1.2355
9.7792,0.3512,0.1502,1.3381
9.8119,0.3076,0.1535,1.4444
9.8457,0.2623,0.1573,1.5503
9.8788,0.2170,0.1621,1.6571
9.9124,0.1746,0.1652,1.7525
9.9461,0.1358,0.1684,1.8412
9.9792,0.1070,0.1728,1.9247
10.0116,0.0824,0.1757,1.9987
10.0456,0.0641,0.1787,2.0671
10.3465,0.0406,0.1801,2.1060
10.3795,0.0143,0.1808,2.1264
10.4127,-0.0084,0.1807,2.1320
10.4478,-0.0296,0.1814,2.1260
10.4791,-0.0281,0.1808,2.1224
10.5131,-0.0211,0.1801,2.1152
10.5467,-0.0119,0.1796,2.0956
10.5800,0.0005,0.1772,2.0667
10.6122,0.0186,0.1768,2.0362
10.6459,0.0389,0.1502,2.0001
10.6798,0.0615,0.1277,1.9596
10.7131,0.0860,0.1086,1.9155
10.7470,0.1118,0.1303,1.8665
10.7799,0.1390,0.1458,1.8155
10.8125,0.1674,0.1539,1.7629
10.8462,0.1969,0.1562,1.7078
10.8797,0.2272,0.1555,1.6538
10.9134,0.2588,0.1518,1.5990
10.9470,0.2900,0.1487,1.5431
10.9801,0.3218,0.1440,1.4867
11.0126,0.3548,0.1388,1.4304
11.0454,0.3872,0.1340,1.3740
11.0803,0.4193,0.1243,1.3179
11.1134,0.4508,0.1155,1.2610
11.1474,0.4825,0.1064,1.2040
11.1802,0.5128,0.0947,1.1466
11.2120,0.5442,0.0805,1.0885
11.2457,0.5751,0.0929,1.0318
11.2795,0.6061,0.1073,0.9726
11.3127,0.6372,0.1216,0.9132
11.3470,0.6684,0.1353,0.8581
11.3797,0.6992,0.1490,0.8029
11.4131,0.7298,0.1402,0.7461
11.4458,0.7612,0.1321,0.6929
11.4796,0.7934,0.1257,0.6412
11.5137,0.8192,0.1214,0.5880
11.5472,0.8310,0.1167,0.5546
11.5805,0.8295,0.1339,0.5449
11.6135,0.8133,0.1406,0.5553
11.6460,0.7903,0.1268,0.5992
11.6798,0.7609,0.1234,0.6736
11.7139,0.7255,0.1268,0.7689
11.7478,0.6846,0.1271,0.8580
11.7804,0.6379,0.1392,0.9484
11.8132,0.5876,0.1602,1.0465
11.8475,0.5347,0.1362,1.1579
11.8807,0.4829,0.1406,1.2756
11.9141,0.4293,0.1462,1.3897
11.9468,0.3738,0.1510,1.5008
11.9804,0.3192,0.1581,1.6207
12.0123,0.2643,0.1620,1.7216
12.0471,0.2164,0.1659,1.8166
12.6476,0.1693,0.1679,1.8673
12.6805,0.1341,0.1687,1.9077
12.7151,0.1096,0.1696,1.9305
12.7476,0.0946,0.1696,1.9376
12.7815,0.0870,0.1685,1.9318
12.8161,0.0860,0.1684,1.9164
12.8478,0.0901,0.1672,1.8905
12.8801,0.1000,0.1421,1.8602
12.9148,0.1133,0.1554,1.8213
12.9477,0.1307,0.1659,1.7795
12.9812,0.1512,0.1748,1.7336
13.0150,0.1741,0.1743,1.6842
13.0484,0.1992,0.1726,1.6329
13.0813,0.2258,0.1678,1.5773
13.1142,0.2536,0.1573,1.5206
13.1481,0.2824,0.1456,1.4633
13.1814,0.3121,0.1311,1.4036
13.2142,0.3419,0.1174,1.3439
13.2478,0.3720,0.1134,1.2839
13.2809,0.4028,0.1100,1.2214
13.3144,0.4335,0.1091,1.1603
13.3488,0.4627,0.1053,1.0960
13.3818,0.4924,0.0940,1.0337
13.4151,0.5235,0.1000,0.9719
13.4473,0.5545,0.1177,0.9079
13.4813,0.5850,0.1348,0.8476
13.5149,0.6159,0.1521,0.7866
13.5486,0.6473,0.1682,0.7272
13.5816,0.6790,0.1833,0.6690
13.6147,0.7104,0.1671,0.6089
13.6475,0.7367,0.1526,0.5524
13.6810,0.7457,0.1739,0.5112
13.7146,0.7403,0.1861,0.4943
13.7477,0.7215,0.1721,0.4995
13.7823,0.6932,0.1584,0.5384
