time,x_m,y_m,z_m
9.0584,0.5174,0.0033,0.8707
9.1027,0.5169,0.0030,0.8715
9.1447,0.5165,0.0027,0.8721
9.2065,0.5156,0.0031,0.8709
9.2519,0.5150,0.0034,0.8717
9.2981,0.5147,0.0031,0.8741
9.3420,0.5140,0.0030,0.8761
9.3862,0.5136,0.0039,0.8761
9.4378,0.5135,0.0035,0.8778
9.4732,0.5132,0.0036,0.8775
9.5135,0.5132,0.0033,0.8790
9.5663,0.5131,0.0032,0.8803
9.6068,0.5133,0.0033,0.8797
9.6649,0.5135,0.0033,0.8791
9.7033,0.5134,0.0034,0.8804
9.7421,0.5133,0.0034,0.8814
9.7811,0.5128,0.0038,0.8824
9.8281,0.5128,0.0034,0.8832
9.8686,0.5128,0.0030,0.8838
9.9099,0.5124,0.0031,0.8809
9.9492,0.5123,0.0030,0.8801
10.0014,0.5124,0.0030,0.8813
10.0472,0.5125,0.0031,0.8787
10.0891,0.5126,0.0034,0.8765
10.1324,0.5127,0.0039,0.8746
10.1802,0.5127,0.0039,0.8731
10.2336,0.5128,0.0034,0.8752
10.2811,0.5130,0.0031,0.8753
10.3151,0.5134,0.0030,0.8772
10.3804,0.5131,0.0029,0.8770
10.4299,0.5131,0.0028,0.8786
10.4753,0.5133,0.0027,0.8782
10.5411,0.5134,0.0027,0.8778
10.6061,0.5136,0.0026,0.8775
10.6764,0.5135,0.0027,0.8755
10.7381,0.5132,0.0024,0.8756
10.7845,0.5132,0.0027,0.8738
10.8465,0.5132,0.0027,0.8759
10.8858,0.5129,0.0023,0.8759
10.9447,0.5129,0.0022,0.8777
11.0051,0.5127,0.0022,0.8774
11.0665,0.5127,0.0019,0.8789
11.1162,0.5128,0.0031,0.8767
11.1943,0.5124,0.0029,0.8748
11.2412,0.5127,0.0028,0.8750
11.3053,0.5128,0.0032,0.8733
11.3503,0.5128,0.0035,0.8720
11.4265,0.5128,0.0032,0.8743
11.4705,0.5131,0.0029,0.8745
11.5221,0.5126,0.0036,0.8730
11.5794,0.5125,0.0033,0.8734
11.6475,0.5125,0.0029,0.8756
11.6926,0.5128,0.0028,0.8756
11.7327,0.5130,0.0030,0.8756
11.7935,0.5131,0.0035,0.8739
11.8397,0.5133,0.0032,0.8742
11.8913,0.5134,0.0028,0.8779
11.9401,0.5133,0.0031,0.8759
12.0000,0.5133,0.0028,0.8776
12.0647,0.5132,0.0034,0.8756
12.1148,0.5130,0.0034,0.8756
12.1873,0.5128,0.0029,0.8757
12.2455,0.5130,0.0030,0.8757
12.3125,0.5132,0.0028,0.8757
12.3785,0.5132,0.0025,0.8775
12.4364,0.5133,0.0024,0.8808
12.4918,0.5130,0.0029,0.8800
12.5507,0.5126,0.0035,0.8777
12.6124,0.5125,0.0033,0.8774
12.6602,0.5125,0.0029,0.8789
12.7117,0.5122,0.0032,0.8767
12.7720,0.5096,0.0050,0.8695
12.8387,0.5067,0.0063,0.8616
12.8939,0.5052,0.0070,0.8585
12.9494,0.5019,0.0083,0.8504
13.0131,0.4900,0.0149,0.8015
13.0624,0.4740,0.0207,0.7444
13.1195,0.4532,0.0232,0.6793
13.1801,0.4286,0.0209,0.6115
13.2440,0.4021,0.0200,0.5380
13.3024,0.3716,0.0190,0.4589
13.3473,0.3387,0.0196,0.3740
13.4061,0.3064,0.0224,0.2894
13.4689,0.2920,0.0213,0.2386
13.5177,0.2928,0.0234,0.2009
13.5831,0.3037,0.0222,0.1937
13.6477,0.3283,0.0197,0.2129
13.7087,0.3627,0.0180,0.2523
13.7589,0.4034,0.0174,0.2986
13.8141,0.4478,0.0160,0.3481
13.8558,0.4887,0.0172,0.3881
13.9457,0.5316,0.0241,0.3860
14.0070,0.5730,0.0278,0.3889
14.0673,0.6182,0.0252,0.3862
14.1183,0.6616,0.0232,0.3560
14.1827,0.7013,0.0209,0.3194
14.2312,0.7374,0.0178,0.2770
14.3086,0.7714,0.0155,0.2261
14.3645,0.8042,0.0155,0.1640
14.4115,0.8368,0.0142,0.0842
14.4729,0.8656,0.0132,0.0163
14.5362,0.8934,0.0130,-0.0595
14.5755,0.9104,0.0139,-0.1127
14.6393,0.9257,0.0133,-0.1652
14.6891,0.9501,0.0117,-0.2140
14.7443,0.9754,0.0129,-0.2595
14.8046,0.9996,0.0136,-0.2910
14.8519,1.0157,0.0133,-0.3066
14.9125,1.0311,0.0131,-0.3165
14.9712,1.0495,0.0170,-0.3507
15.0391,1.0922,0.0217,-0.3850
15.1075,1.1296,0.0217,-0.3848
15.1619,1.1590,0.0192,-0.3641
15.2276,1.1879,0.0177,-0.3402
15.2796,1.2185,0.0154,-0.3169
15.3247,1.2470,0.0145,-0.2941
15.3901,1.2658,0.0137,-0.2561
15.4461,1.2781,0.0119,-0.2206
15.4916,1.2857,0.0107,-0.1816
15.5445,1.2886,0.0094,-0.1372
15.6086,1.2902,0.0100,-0.1049
15.6659,1.2860,0.0090,-0.0531
15.7188,1.2792,0.0082,0.0012
15.7703,1.2719,0.0071,0.0522
15.8250,1.2620,0.0061,0.1077
15.8788,1.2494,0.0052,0.1663
15.9395,1.2365,0.0046,0.2292
15.9868,1.2218,0.0040,0.2931
16.0628,1.2057,0.0039,0.3575
16.1266,1.1851,0.0054,0.4200
16.1935,1.1639,0.0047,0.4695
16.2510,1.1407,0.0056,0.5060
16.3044,1.1167,0.0076,0.5230
16.3535,1.0961,0.0084,0.5516
16.4193,1.0747,0.0100,0.5720
16.4798,1.0541,0.0095,0.5934
16.5423,1.0327,0.0099,0.6038
16.6046,1.0103,0.0085,0.6187
16.6701,0.9867,0.0095,0.6374
16.7371,0.9627,0.0099,0.6515
16.8012,0.9369,0.0103,0.6674
16.8525,0.9114,0.0098,0.6792
16.9064,0.8892,0.0084,0.6853
16.9578,0.8699,0.0075,0.6906
17.0144,0.8524,0.0074,0.7046
17.0840,0.8376,0.0074,0.7184
17.1253,0.8242,0.0065,0.7320
17.2071,0.8120,0.0081,0.7322
17.2591,0.8018,0.0087,0.7382
17.3258,0.7928,0.0080,0.7470
17.3857,0.7848,0.0078,0.7545
