time,x_m,y_m,z_m
0.7635,0.5019,0.0754,0.4318
0.8417,0.5002,0.0757,0.4295
0.9074,0.5020,0.0685,0.4684
0.9804,0.5034,0.0595,0.5131
1.0478,0.4998,0.0523,0.5436
1.1341,0.4986,0.0445,0.5790
1.2091,0.4975,0.0387,0.6072
1.2775,0.4969,0.0335,0.6349
1.3453,0.4971,0.0286,0.6566
1.4143,0.4974,0.0246,0.6768
1.4841,0.4973,0.0215,0.6941
1.5468,0.4974,0.0183,0.7069
1.6099,0.4973,0.0171,0.7159
1.6483,0.4974,0.0150,0.7254
1.7105,0.4975,0.0128,0.7335
1.7708,0.4978,0.0109,0.7422
1.8123,0.4980,0.0097,0.7497
1.8518,0.4980,0.0085,0.7541
1.9138,0.4980,0.0076,0.7579
1.9683,0.4978,0.0072,0.7630
2.0094,0.4981,0.0065,0.7673
2.0415,0.4981,0.0060,0.7691
2.0817,0.4983,0.0054,0.7725
2.1342,0.4989,0.0049,0.7754
2.1869,0.4990,0.0046,0.7778
2.2373,0.4990,0.0041,0.7799
2.2758,0.4989,0.0039,0.7798
2.3182,0.4992,0.0038,0.7798
2.3699,0.4986,0.0035,0.7797
2.4035,0.4985,0.0030,0.7797
2.4339,0.4980,0.0027,0.7796
2.4881,0.4982,0.0025,0.7814
2.5329,0.4982,0.0022,0.7811
2.5946,0.4984,0.0025,0.7827
2.6484,0.4983,0.0022,0.7822
2.7170,0.4983,0.0020,0.7818
2.7986,0.4983,0.0025,0.7814
2.8558,0.4984,0.0025,0.7830
2.9167,0.4986,0.0023,0.7843
2.9788,0.4985,0.0022,0.7836
3.0161,0.4986,0.0019,0.7848
3.0745,0.4983,0.0027,0.7821
3.1158,0.4983,0.0024,0.7817
3.1723,0.4978,0.0021,0.7813
3.2202,0.4979,0.0019,0.7810
3.2815,0.4983,0.0021,0.7808
3.3314,0.4985,0.0019,0.7824
3.3934,0.4986,0.0022,0.7838
3.4409,0.4985,0.0023,0.7832
3.4813,0.4985,0.0028,0.7826
3.5479,0.4986,0.0024,0.7840
3.5897,0.4981,0.0021,0.7833
3.6498,0.4981,0.0021,0.7827
3.7098,0.4981,0.0024,0.7822
3.7544,0.4983,0.0023,0.7836
3.8030,0.4985,0.0020,0.7849
3.8438,0.4984,0.0023,0.7840
3.8967,0.4983,0.0021,0.7833
3.9477,0.4985,0.0020,0.7846
4.0013,0.4984,0.0020,0.7838
4.0495,0.4984,0.0018,0.7831
4.1059,0.4983,0.0018,0.7826
4.1477,0.4985,0.0022,0.7802
4.2098,0.4987,0.0026,0.7819
4.2572,0.4988,0.0024,0.7834
4.3136,0.4989,0.0023,0.7847
4.3531,0.4990,0.0021,0.7857
4.4153,0.4990,0.0018,0.7866
4.4795,0.4987,0.0016,0.7874
4.5299,0.4975,0.0019,0.7844
4.5927,0.4976,0.0018,0.7836
4.6461,0.4972,0.0017,0.7830
4.7129,0.4975,0.0016,0.7843
4.7742,0.4976,0.0014,0.7836
4.8395,0.4979,0.0015,0.7848
4.8959,0.4979,0.0019,0.7840
4.9624,0.4977,0.0016,0.7852
5.0128,0.4978,0.0016,0.7843
5.0516,0.4980,0.0014,0.7854
5.1119,0.4980,0.0013,0.7845
5.1506,0.4976,0.0014,0.7837
5.2080,0.4977,0.0013,0.7831
5.2473,0.4979,0.0012,0.7844
5.3062,0.4975,0.0012,0.7836
5.3564,0.4978,0.0014,0.7849
5.4103,0.4978,0.0013,0.7840
5.4474,0.4979,0.0012,0.7833
5.5100,0.4979,0.0013,0.7827
5.5570,0.4979,0.0016,0.7822
5.6044,0.4981,0.0019,0.7837
5.6473,0.4977,0.0019,0.7830
5.7068,0.4980,0.0020,0.7843
5.7482,0.4980,0.0019,0.7836
5.7977,0.4982,0.0018,0.7848
5.8393,0.4982,0.0018,0.7840
5.8807,0.4977,0.0018,0.7833
5.9375,0.4980,0.0019,0.7846
5.9767,0.4980,0.0021,0.7838
6.0096,0.4980,0.0019,0.7831
6.0542,0.4978,0.0020,0.7844
6.1094,0.4978,0.0017,0.7837
6.1613,0.4981,0.0015,0.7849
6.2131,0.4983,0.0013,0.7859
6.2524,0.4982,0.0012,0.7849
6.3009,0.4984,0.0018,0.7860
6.3495,0.4984,0.0016,0.7850
6.4051,0.4983,0.0015,0.7841
6.4688,0.4985,0.0016,0.7853
6.5305,0.4984,0.0018,0.7844
6.5879,0.4986,0.0021,0.7855
6.6437,0.4987,0.0022,0.7864
6.6820,0.4984,0.0025,0.7835
6.7287,0.4981,0.0025,0.7848
6.7720,0.4981,0.0024,0.7839
6.8283,0.4981,0.0021,0.7833
6.8782,0.4981,0.0019,0.7827
6.9377,0.4976,0.0020,0.7822
7.0030,0.4973,0.0019,0.7818
7.0517,0.4976,0.0020,0.7833
7.1219,0.4977,0.0019,0.7827
7.1878,0.4977,0.0019,0.7822
7.2722,0.4978,0.0021,0.7818
7.3333,0.4978,0.0018,0.7814
7.3894,0.4981,0.0018,0.7830
7.4475,0.4983,0.0018,0.7843
7.5069,0.4984,0.0019,0.7854
7.5547,0.4979,0.0019,0.7845
7.6033,0.4980,0.0020,0.7837
7.6493,0.4975,0.0020,0.7831
7.7120,0.4976,0.0022,0.7825
7.7699,0.4972,0.0019,0.7821
7.8115,0.4974,0.0019,0.7817
7.8547,0.4968,0.0019,0.7795
7.9015,0.4970,0.0023,0.7794
7.9528,0.4974,0.0023,0.7813
8.0099,0.4975,0.0026,0.7810
8.0649,0.4976,0.0027,0.7808
8.1014,0.4978,0.0026,0.7824
8.1398,0.4981,0.0023,0.7838
8.1808,0.4983,0.0021,0.7850
8.2235,0.4982,0.0023,0.7842
8.2697,0.4982,0.0022,0.7834
8.3294,0.4984,0.0024,0.7847
8.3872,0.4981,0.0022,0.7820
8.4387,0.4983,0.0020,0.7835
8.4869,0.4983,0.0020,0.7829
8.5514,0.4987,0.0021,0.7823
8.5917,0.4988,0.0022,0.7837
8.6409,0.4987,0.0020,0.7831
8.6932,0.4988,0.0018,0.7844
8.7543,0.4987,0.0020,0.7836
8.8071,0.4988,0.0021,0.7848
8.8477,0.4987,0.0022,0.7840
8.8963,0.4986,0.0021,0.7833
8.9491,0.4987,0.0022,0.7846
8.9929,0.4988,0.0019,0.7857
9.0509,0.4987,0.0020,0.7847
9.1142,0.4986,0.0018,0.7839
9.1514,0.4987,0.0018,0.7851
9.1871,0.4986,0.0022,0.7842
9.2303,0.4988,0.0020,0.7854
9.2867,0.4989,0.0019,0.7863
9.3423,0.4989,0.0016,0.7871
9.4101,0.4988,0.0018,0.7860
9.4627,0.4987,0.0018,0.7850
9.5254,0.4986,0.0018,0.7841
9.5808,0.4987,0.0021,0.7853
9.6400,0.4986,0.0019,0.7844
9.6883,0.4985,0.0017,0.7836
9.7456,0.4985,0.0015,0.7830
9.7892,0.4984,0.0019,0.7824
9.8419,0.4984,0.0019,0.7820
9.8836,0.4983,0.0017,0.7816
9.9522,0.4985,0.0017,0.7831
10.0034,0.4986,0.0022,0.7844
10.0546,0.4983,0.0020,0.7855
10.1193,0.4983,0.0025,0.7846
10.1746,0.4982,0.0028,0.7838
10.2439,0.4984,0.0030,0.7850
10.2985,0.4986,0.0027,0.7860
10.3519,0.4985,0.0026,0.7850
10.4078,0.4984,0.0024,0.7842
10.4499,0.4984,0.0027,0.7835
10.5159,0.4981,0.0032,0.7810
10.5725,0.4979,0.0029,0.7788
10.6286,0.4979,0.0027,0.7789
10.6871,0.4981,0.0023,0.7808
10.7457,0.4983,0.0021,0.7825
10.7995,0.4981,0.0027,0.7801
10.8653,0.4981,0.0024,0.7800
10.9182,0.4981,0.0023,0.7799
10.9556,0.4983,0.0023,0.7817
11.0015,0.4982,0.0020,0.7813
11.0476,0.4982,0.0020,0.7810
11.0932,0.4982,0.0023,0.7808
11.1408,0.4980,0.0025,0.7787
11.1961,0.4980,0.0026,0.7788
11.2415,0.4978,0.0024,0.7808
11.2878,0.4978,0.0023,0.7805
11.3367,0.4980,0.0022,0.7822
11.3809,0.4981,0.0020,0.7818
11.4417,0.4978,0.0026,0.7796
11.4901,0.4979,0.0023,0.7795
11.5614,0.4979,0.0024,0.7795
11.6025,0.4979,0.0025,0.7795
11.6511,0.4979,0.0022,0.7795
11.7122,0.4980,0.0020,0.7794
11.7579,0.4975,0.0018,0.7794
11.8099,0.4978,0.0017,0.7813
11.8512,0.4974,0.0019,0.7810
11.9085,0.4975,0.0017,0.7808
11.9619,0.4978,0.0017,0.7824
11.9977,0.4978,0.0019,0.7820
12.0334,0.4981,0.0025,0.7834
12.0805,0.4981,0.0028,0.7828
12.1248,0.4983,0.0029,0.7842
12.1757,0.4985,0.0027,0.7853
12.2182,0.4986,0.0026,0.7863
12.2662,0.4985,0.0023,0.7852
12.3098,0.4984,0.0022,0.7844
12.3458,0.4984,0.0020,0.7836
12.3886,0.4983,0.0020,0.7830
12.4393,0.4985,0.0019,0.7843
12.4795,0.4982,0.0023,0.7817
12.5360,0.4982,0.0021,0.7813
12.5755,0.4982,0.0022,0.7810
12.6114,0.4977,0.0022,0.7808
12.6538,0.4978,0.0021,0.7806
12.7162,0.4978,0.0019,0.7804
12.7651,0.4981,0.0016,0.7821
12.8108,0.4983,0.0016,0.7835
12.8477,0.4982,0.0014,0.7829
12.8962,0.4984,0.0016,0.7842
12.9413,0.4984,0.0018,0.7835
12.9845,0.4981,0.0021,0.7810
13.0267,0.4983,0.0020,0.7826
13.0818,0.4983,0.0018,0.7821
13.1482,0.4982,0.0018,0.7817
13.1943,0.4982,0.0020,0.7814
13.2596,0.4982,0.0018,0.7811
13.3037,0.4984,0.0017,0.7827
13.3467,0.4983,0.0019,0.7822
13.3932,0.4978,0.0019,0.7818
13.4442,0.4972,0.0023,0.7795
13.5018,0.4974,0.0022,0.7795
13.5433,0.4975,0.0020,0.7795
13.5959,0.4976,0.0020,0.7795
13.6355,0.4976,0.0020,0.7794
13.6852,0.4977,0.0020,0.7794
13.7428,0.4977,0.0020,0.7794
13.7955,0.4978,0.0021,0.7794
13.8565,0.4978,0.0023,0.7794
13.9224,0.4979,0.0020,0.7794
13.9745,0.4979,0.0022,0.7794
14.0183,0.4979,0.0023,0.7794
14.0696,0.4981,0.0021,0.7812
14.1264,0.4981,0.0021,0.7810
14.1691,0.4983,0.0019,0.7826
14.2041,0.4983,0.0021,0.7821
14.2456,0.4983,0.0019,0.7817
14.2953,0.4980,0.0019,0.7795
14.3528,0.4980,0.0017,0.7794
14.4040,0.4983,0.0020,0.7775
14.4646,0.4984,0.0023,0.7797
14.5128,0.4984,0.0020,0.7796
14.5676,0.4985,0.0019,0.7814
14.6101,0.4987,0.0024,0.7830
14.6565,0.4981,0.0021,0.7825
14.7176,0.4981,0.0021,0.7820
14.7659,0.4983,0.0020,0.7835
14.8135,0.4983,0.0018,0.7828
14.8507,0.4982,0.0016,0.7823
14.8968,0.4982,0.0015,0.7819
14.9300,0.4980,0.0013,0.7834
14.9790,0.4980,0.0012,0.7828
15.0194,0.4978,0.0011,0.7804
15.0954,0.4980,0.0013,0.7821
15.1455,0.4980,0.0012,0.7817
15.1874,0.4976,0.0015,0.7813
15.2448,0.4977,0.0014,0.7810
15.2912,0.4977,0.0014,0.7808
15.3568,0.4980,0.0012,0.7824
15.4217,0.4982,0.0012,0.7838
15.4759,0.4982,0.0013,0.7832
15.5176,0.4982,0.0016,0.7826
15.5727,0.4981,0.0016,0.7821
15.6191,0.4979,0.0015,0.7836
15.6795,0.4981,0.0013,0.7848
15.7338,0.4983,0.0011,0.7858
15.7846,0.4978,0.0014,0.7849
15.8355,0.4979,0.0013,0.7841
15.8798,0.4979,0.0012,0.7834
15.9259,0.4981,0.0012,0.7846
15.9783,0.4981,0.0013,0.7838
16.0238,0.4977,0.0012,0.7832
16.0811,0.4979,0.0013,0.7845
16.1262,0.4975,0.0013,0.7837
16.1799,0.4976,0.0013,0.7831
16.2236,0.4979,0.0019,0.7844
16.2714,0.4975,0.0017,0.7836
